TI,TE,TR,resitor,ventoinha,data,hora
55.11,27.66,66,100,0,2021-03-21,15:46:36
56.27,27.67,66,100,0,2021-03-21,15:46:38
56.27,27.68,66,100,0,2021-03-21,15:46:40
56.3,27.69,66,100,0,2021-03-21,15:46:42
56.01,27.67,66,100,0,2021-03-21,15:46:44
55.56,27.65,66,100,0,2021-03-21,15:46:46
55.75,27.68,66,100,0,2021-03-21,15:46:48
54.27,27.65,66,100,0,2021-03-21,15:46:50
54.62,27.65,66,100,0,2021-03-21,15:46:52
55.2,27.65,66,100,0,2021-03-21,15:46:54
56.17,27.62,66,100,0,2021-03-21,15:46:56
55.88,27.63,66,100,0,2021-03-21,15:46:58
55.91,27.63,66,100,0,2021-03-21,15:47:00
56.69,27.63,66,100,0,2021-03-21,15:47:02
56.75,27.62,66,100,0,2021-03-21,15:47:04
56.82,27.59,66,100,0,2021-03-21,15:47:06
57.52,27.57,66,100,0,2021-03-21,15:47:08
58.1,27.56,66,100,0,2021-03-21,15:47:10
57.81,27.55,66,100,0,2021-03-21,15:47:12
58.2,27.54,66,100,0,2021-03-21,15:47:14
58.3,27.53,66,100,0,2021-03-21,15:47:16
58.75,27.52,66,100,0,2021-03-21,15:47:18
58.75,27.52,66,100,0,2021-03-21,15:47:20
59.1,27.51,66,100,0,2021-03-21,15:47:22
58.17,27.52,66,100,0,2021-03-21,15:47:24
57.65,27.53,66,100,0,2021-03-21,15:47:26
57.11,27.54,66,100,0,2021-03-21,15:47:28
57.62,27.52,66,100,0,2021-03-21,15:47:30
57.69,27.51,66,100,0,2021-03-21,15:47:32
59.23,27.51,66,100,0,2021-03-21,15:47:34
60.1,27.48,66,100,0,2021-03-21,15:47:36
61.04,27.5,66,100,0,2021-03-21,15:47:38
60.52,27.48,66,100,0,2021-03-21,15:47:40
59.97,27.47,66,100,0,2021-03-21,15:47:42
60.39,27.47,66,100,0,2021-03-21,15:47:44
60.62,27.45,66,100,0,2021-03-21,15:47:46
60.84,27.43,66,100,0,2021-03-21,15:47:48
61.36,27.42,66,100,0,2021-03-21,15:47:50
62.78,27.4,66,100,0,2021-03-21,15:47:52
62.78,27.4,66,100,0,2021-03-21,15:47:54
62.13,27.43,66,100,0,2021-03-21,15:47:56
61.75,27.43,66,100,0,2021-03-21,15:47:58
62.2,27.45,66,100,0,2021-03-21,15:48:00
62.29,27.46,66,100,0,2021-03-21,15:48:02
62.29,27.49,66,100,0,2021-03-21,15:48:04
62.23,27.48,66,100,0,2021-03-21,15:48:06
62.84,27.47,66,100,0,2021-03-21,15:48:08
63.62,27.48,66,100,0,2021-03-21,15:48:10
63.42,27.48,66,100,0,2021-03-21,15:48:12
63.49,27.45,66,100,0,2021-03-21,15:48:14
64.45,27.44,66,100,0,2021-03-21,15:48:16
64.78,27.43,66,100,0,2021-03-21,15:48:18
65.03,27.44,66,100,0,2021-03-21,15:48:20
65.29,27.45,66,100,0,2021-03-21,15:48:22
65.23,27.44,66,100,0,2021-03-21,15:48:24
64.61,27.44,66,100,0,2021-03-21,15:48:26
64.13,27.44,66,100,0,2021-03-21,15:48:28
64.2,27.45,66,100,0,2021-03-21,15:48:30
63.49,27.44,66,100,0,2021-03-21,15:48:32
63.49,27.44,66,100,0,2021-03-21,15:48:34
63.94,22.15,66,100,0,2021-03-21,15:48:36
64.2,27.43,66,100,0,2021-03-21,15:48:38
63.97,27.45,66,100,0,2021-03-21,15:48:40
64.97,27.47,66,100,0,2021-03-21,15:48:42
65.71,27.49,55,100,0,2021-03-21,15:48:44
66,27.5,55,21.84,0,2021-03-21,15:48:46
